town_name,county_name
Murang'a,Murang'a County
Kangema,Murang'a County
Kiria-ini,Murang'a County
Maragua,Murang'a County
Kenol,Murang'a County
Kangari,Murang'a County
Kigumo,Murang'a County
Kandara,Murang'a County
Gatanga,Murang'a County
Sabasaba,Murang'a County
Makuyu,Murang'a County
Kabati,Murang'a County
Mugoiri,Murang'a County
Mukurwe,Murang'a County
Kiriaini,Murang'a County
Gatura,Murang'a County
Kaharati,Murang'a County
Mataara,Murang'a County
Ichagaki,Murang'a County
Mugumo,Murang'a County
Gikandu,Murang'a County
Ithanga,Murang'a County
Njumbi,Murang'a County
Kirwara,Murang'a County
Kahatia,Murang'a County
Kinyona,Murang'a County
Kamahuha,Murang'a County
Kamwangi,Murang'a County
Kandegenye,Murang'a County
Muirungi,Murang'a County
Mwamba,Murang'a County
Ndakaini,Murang'a County
Ngurweini,Murang'a County
Nthoroni,Murang'a County
Wangige,Murang'a County
Mithanga,Murang'a County
Kagundu-ini,Murang'a County
Kambiti,Murang'a County
Kangangu,Murang'a County
Kimorori,Murang'a County
Kirere,Murang'a County
Muguru,Murang'a County
Muruaki,Murang'a County
Njiri,Murang'a County
Ruchu,Murang'a County
Wanjohi,Murang'a County
Mathioya,Murang'a County
Kariua,Murang'a County
Mbiri,Murang'a County
Gitige,Murang'a County
Kamacharia,Murang'a County
Mugoiri,Murang'a County
Mutunguru,Murang'a County
Thuita,Murang'a County
Gikandu,Murang'a County
Kanyenyaini,Murang'a County
Gathukiini,Murang'a County
Kanjama,Murang'a County
Wanjengi,Murang'a County
Muthithi,Murang'a County
Mugumoini,Murang'a County
Mithini,Murang'a County
Njenga,Murang'a County
Ichamara,Murang'a County
Kiangage,Murang'a County
Kiharu,Murang'a County
Gitugi,Murang'a County
Kariti,Murang'a County
Kairi,Murang'a County
Kairini,Murang'a County
Kandegenye,Murang'a County
Gatara,Murang'a County
Githumu,Murang'a County
Gakuyu,Murang'a County
Gacharage,Murang'a County
Gaichanjiru,Murang'a County
Gaikundo,Murang'a County
Githambo,Murang'a County
Gacharaigu,Murang'a County
Wangu,Murang'a County
Mbiri,Murang'a County
Kihumbu-ini,Murang'a County
Kihingo,Murang'a County
Kiunyu,Murang'a County
Kieni,Murang'a County
Kariti,Murang'a County
Kabati,Murang'a County
Ruiru,Murang'a County
Kirinyaga,Murang'a County
Mugenda,Murang'a County
Mathari,Murang'a County
Matundura,Murang'a County
Nginda,Murang'a County
Kiranga,Murang'a County
Karurumo,Murang'a County
Kagundu,Murang'a County
Kiria,Murang'a County
Kirima,Murang'a County
Kigio,Murang'a County
Kairugu,Murang'a County
Mioro,Murang'a County
Mikuyu,Murang'a County
Matare,Murang'a County
Wempa,Murang'a County
Wempaini,Murang'a County
Gikindu,Murang'a County
Gakoe,Murang'a County
Gakui,Murang'a County
Gaikuyu,Murang'a County
Gaikundo,Murang'a County
Gaitho,Murang'a County
Gatama,Murang'a County
Gatanga,Murang'a County
Gatarakwa,Murang'a County
Gatete,Murang'a County
Gatitu,Murang'a County
Gathiru,Murang'a County
Gathiruini,Murang'a County
Gathungururu,Murang'a County
Gatuiga,Murang'a County
Gatundia,Murang'a County
Gatunganga,Murang'a County
Gatuanyaga,Murang'a County
Githembe,Murang'a County
Githirioni,Murang'a County
Githunguri,Murang'a County
Gitura,Murang'a County
Ikundu,Murang'a County
Ikinu,Murang'a County
Irungu,Murang'a County
Ithanga,Murang'a County
Ithiru,Murang'a County
Kabati,Murang'a County
Kabuku,Murang'a County
Kagaari,Murang'a County
Kageni,Murang'a County
Kagio,Murang'a County
Kagundu,Murang'a County
Kahiga,Murang'a County
Kahiro,Murang'a County
Kairo,Murang'a County
Kairu,Murang'a County
Kambirwa,Murang'a County
Kamune,Murang'a County
Kanyagia,Murang'a County
Karaba,Murang'a County
Karangi,Murang'a County
Karatina,Murang'a County
Kariguini,Murang'a County
Karinga,Murang'a County
Kariti,Murang'a County
Kasikeu,Murang'a County
Kiamara,Murang'a County
Kiambere,Murang'a County
Kianjiru,Murang'a County
Kibaki,Murang'a County
Kibiriri,Murang'a County
Kiboko,Murang'a County
Kigongoini,Murang'a County
Kimorori,Murang'a County
Kimandi,Murang'a County
